pair_ID|pair_UID|sent_0_idx|sent_0|sent_1_idx|sent_1|aligning_method|ins|del|sub|ela|SB|tf-idf|Jaccard
ID-article0-1-0-0-0-0-0|UID|article0-1-0-0|Background|article0-0-0-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.|3|-2|-2|-2|0|0.008328949101269245|0.0|0.0
ID-article0-1-0-0-0-0-1|UID|article0-1-0-0|Background|article0-0-0-1|Hydrocoele can be treated with drainage of the fluid along with an injection of a chemical around the testicle to prevent recurrence, or with open surgery.|3|-2|-2|-2|0|0.0006968947127461433|0.0|0.0
ID-article0-1-0-0-0-0-2|UID|article0-1-0-0|Background|article0-0-0-2|The aim of this review is to compare these two types of treatment.|3|-2|-2|-2|0|0.0024536019191145897|0.0|0.0
ID-article0-1-0-0-0-0-3|UID|article0-1-0-0|Background|article0-0-0-3|We found four small studies were identified after an extensive literature search.|3|-2|-2|-2|0|0.06754451245069504|0.0|0.0
ID-article0-1-0-0-0-0-4|UID|article0-1-0-0|Background|article0-0-0-4|Due to limited information about the design of the studies, and the small number of patients enrolled, the results should be interpreted with caution.|3|-2|-2|-2|0|-0.05830635130405426|0.0|0.0
ID-article0-1-0-0-0-0-5|UID|article0-1-0-0|Background|article0-0-0-5|Meta-analysis showed lower rates of recurrence in the surgery group, however there was insufficient evidence to draw a strong conclusion.|3|-2|-2|-2|0|-0.12757503986358643|0.0|0.0
ID-article0-1-0-0-0-0-6|UID|article0-1-0-0|Background|article0-0-0-6|Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.|3|-2|-2|-2|0|-0.08488399535417557|0.0|0.0
ID-article0-1-0-0-0-0-7|UID|article0-1-0-0|Background|article0-0-0-7|Cure at short-term follow-up was similar between the groups, however there is significant uncertainty in this result which may be as a result of the age of one of the studies and the different agent used compared to the other studies.|3|-2|-2|-2|0|-0.06218394637107849|0.0|0.0
ID-article0-1-1-0-0-0-0|UID|article0-1-1-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection between the visceral and parietal layers of the tunica vaginalis of the scrotum.|article0-0-0-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.|1|-2|-2|-2|0|0.9451068639755249|1.0|0.5416666666666666
ID-article0-1-1-0-0-0-1|UID|article0-1-1-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection between the visceral and parietal layers of the tunica vaginalis of the scrotum.|article0-0-0-1|Hydrocoele can be treated with drainage of the fluid along with an injection of a chemical around the testicle to prevent recurrence, or with open surgery.|3|-2|-2|-2|0|0.6485421657562256|0.0|0.1
ID-article0-1-1-0-0-0-2|UID|article0-1-1-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection between the visceral and parietal layers of the tunica vaginalis of the scrotum.|article0-0-0-2|The aim of this review is to compare these two types of treatment.|3|-2|-2|-2|0|0.05683712661266327|0.0|0.0625
ID-article0-1-1-0-0-0-3|UID|article0-1-1-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection between the visceral and parietal layers of the tunica vaginalis of the scrotum.|article0-0-0-3|We found four small studies were identified after an extensive literature search.|3|-2|-2|-2|0|0.09022894501686096|0.0|0.0
ID-article0-1-1-0-0-0-4|UID|article0-1-1-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection between the visceral and parietal layers of the tunica vaginalis of the scrotum.|article0-0-0-4|Due to limited information about the design of the studies, and the small number of patients enrolled, the results should be interpreted with caution.|3|-2|-2|-2|0|0.044439803808927536|0.0|0.07692307692307693
ID-article0-1-1-0-0-0-5|UID|article0-1-1-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection between the visceral and parietal layers of the tunica vaginalis of the scrotum.|article0-0-0-5|Meta-analysis showed lower rates of recurrence in the surgery group, however there was insufficient evidence to draw a strong conclusion.|3|-2|-2|-2|0|0.05097287893295288|0.0|0.075
