,input,output,gold,prefix
0,"Our results suggest, but do not confirm, that a possible advantage of ultrasound guidance for the first attempt success rate over other techniques is more pronounced in infants and small children than in older children.","Furthermore, ultrasound guidance is more accurate and safer than alternative techniques for treating first tentative baby ear infection.","Our evidence suggests that ultrasound is superior to other techniques for arterial catheter insertion, particularly in babies and young children.",Simplify sentence: 
1,Laparoscopic box model training appears to improve technical skills compared with no training in trainees with no previous laparoscopic experience.,Laparoscopic box model training appears to improve technical skills compared with no training in trainees with no previous laparoscopic experience.,This suggests that the box model training improves technical skills of surgical trainees with no previous experience in laparoscopic surgery.,Simplify sentence: 
2,"We also searched Google Scholar and performed manual searches in journals relevant to the topic, conference proceedings and lists of references of potentially included articles.",This search was undertaken in two databases.,We conducted a comprehensive search for studies on this topic.,Simplify sentence: 
3,"The focus of treatment has moved to an outpatient setting, and a number of differing psychological therapies are presently used in treatment.","The focus of treatment has moved to an outpatient setting, and a number of different psychological therapies are presently used in treatment.",It is important to know which psychological therapy is most likely to help people recover.,Simplify sentence: 
4,Pain relief did not differ between Mm/r and MIR.,Pain relief did not differ between Mm/r and MIR.,This made it difficult to work out whether any one tablet or preparation of oral morphine was better than any other.,Simplify sentence: 
5,Duration and style of tai chi differed between trials.,duration and style of tai chi differed between trials.,There were variations in the duration and style of tai chi and the follow-up of the interventions ranged from three to 12 months.,Simplify sentence: 
6,There was some suggestion of beneficial effects of tai chi on CVD risk factors but this was not consistent across all studies.,"However, this was not consistent across studies, so the benefits were uncertain.","Due to the small number of short-term studies and the variability between them, we were unable to determine conclusively whether or not tai chi was beneficial at reducing cardiovascular risk in healthy adults and adults at increased risk of CVD, although beneficial effects for CVD risk factors were seen in some studies.",Simplify sentence: 
7,Published or unpublished randomised controlled trials (RCTs) comparing the effects of anabolic steroids with alternative treatments or different types of anabolic steroids in the treatment of pressure ulcers.,We sought randomised controlled trials (RCTs) comparing the effects of anabolic steroids with alternative treatments or different types of anabolic steroids in the treatment of pressure ulcers.,"In March 2017, we searched for randomised controlled trials, which compared the use of anabolic steroids with other treatments for pressure ulcers.",Simplify sentence: 
8,"We searched the Cochrane Hypertension Group Specialised Register, the Cochrane Central Register of Controlled Trials (CENTRAL, 2014, Issue 9), MEDLINE, MEDLINE In-Process, EMBASE, and ClinicalTrials.gov to 27 October 2014.",We searched the evidence on 27 October 2014.,We searched the available scientific literature to find all the trials that had addressed these questions.,Simplify sentence: 
9,To determine the effectiveness of tai chi for the primary prevention of CVD.,The purpose of this review was to investigate the effectiveness of tai chi for primary prevention of CVD.,"This review assessed the effectiveness of tai chi interventions for healthy adults and adults at high risk of CVD at reducing cardiovascular death, all-cause death, non-fatal endpoints (such as heart attacks, strokes and angina) and CVD risk factors.",Simplify sentence: 
10,High-quality randomised controlled trials on well-defined participants with long-term outcomes to determine the duration of response are needed.,High-quality randomised controlled trials on well-defined participants with long-term outcomes to determine the duration of response are needed.,There is a need for high-quality studies comparing the treatments for this difficult to manage condition.,Simplify sentence: 
