,input,output,gold,prefix
0,"Our results suggest, but do not confirm, that a possible advantage of ultrasound guidance for the first attempt success rate over other techniques is more pronounced in infants and small children than in older children.","Our results suggest, but do not confirm, that a potential advantage of ultrasound guidance for the first attempt success rate over other techniques is more pronounced in infants and small children than in older children.","Our evidence suggests that ultrasound is superior to other techniques for arterial catheter insertion, particularly in babies and young children.",Simplify sentence: 
1,Laparoscopic box model training appears to improve technical skills compared with no training in trainees with no previous laparoscopic experience.,training in laparoscopic box model trainees improves technical skills compared with no training in trainees with no previous laparoscopic experience.,This suggests that the box model training improves technical skills of surgical trainees with no previous experience in laparoscopic surgery.,Simplify sentence: 
2,"We also searched Google Scholar and performed manual searches in journals relevant to the topic, conference proceedings and lists of references of potentially included articles.","We searched Google Scholar and performed manual searches in journals relevant to the topic, conference proceedings and lists of references of potentially included articles.",We conducted a comprehensive search for studies on this topic.,Simplify sentence: 
3,"The focus of treatment has moved to an outpatient setting, and a number of differing psychological therapies are presently used in treatment.","Treatment has moved to an outpatient setting, and a number of different psychological therapies are presently used in treatment.",It is important to know which psychological therapy is most likely to help people recover.,Simplify sentence: 
4,Pain relief did not differ between Mm/r and MIR.,MIR has an equal amount of pain in both men and women.,This made it difficult to work out whether any one tablet or preparation of oral morphine was better than any other.,Simplify sentence: 
5,Duration and style of tai chi differed between trials.,Time is used less to judge a person's skill level.,There were variations in the duration and style of tai chi and the follow-up of the interventions ranged from three to 12 months.,Simplify sentence: 
6,There was some suggestion of beneficial effects of tai chi on CVD risk factors but this was not consistent across all studies.,Tai chi is good to treat tai chi for low cardiovascular risk factors.,"Due to the small number of short-term studies and the variability between them, we were unable to determine conclusively whether or not tai chi was beneficial at reducing cardiovascular risk in healthy adults and adults at increased risk of CVD, although beneficial effects for CVD risk factors were seen in some studies.",Simplify sentence: 
7,Published or unpublished randomised controlled trials (RCTs) comparing the effects of anabolic steroids with alternative treatments or different types of anabolic steroids in the treatment of pressure ulcers.,Compared the effects of anabolic steroids with alternative treatments or different types of anabolic steroids in the treatment of pressure ulcers,"In March 2017, we searched for randomised controlled trials, which compared the use of anabolic steroids with other treatments for pressure ulcers.",Simplify sentence: 
8,"We searched the Cochrane Hypertension Group Specialised Register, the Cochrane Central Register of Controlled Trials (CENTRAL, 2014, Issue 9), MEDLINE, MEDLINE In-Process, EMBASE, and ClinicalTrials.gov to 27 October 2014.","We searched the Cochrane Hypertension Group Specialised Register, the Cochrane Central Register of Controlled Trials (CENTRAL, 2014, Issue 9,), MEDLINE, MEDLINE In-Process, EMBASE, and ClinicalTrials.gov to 27 October 2014.",We searched the available scientific literature to find all the trials that had addressed these questions.,Simplify sentence: 
9,To determine the effectiveness of tai chi for the primary prevention of CVD.,Tai chi is a chinese drug that is mainly useful in primary prevention of chronic obstructive pulmonary disease.,"This review assessed the effectiveness of tai chi interventions for healthy adults and adults at high risk of CVD at reducing cardiovascular death, all-cause death, non-fatal endpoints (such as heart attacks, strokes and angina) and CVD risk factors.",Simplify sentence: 
10,High-quality randomised controlled trials on well-defined participants with long-term outcomes to determine the duration of response are needed.,high-quality randomised controlled trials are needed to identify the duration of response.,There is a need for high-quality studies comparing the treatments for this difficult to manage condition.,Simplify sentence: 
11,"The cure rate in short-term follow-up was similar between the groups, however there is significant uncertainty in this result due to the high heterogeneity.",The high heterogeneity can be attributed to the lower cure rate and the high heterogeneity is variable.,"Cure at short-term follow-up was similar between the groups, however there is significant uncertainty in this result which may be as a result of the age of one of the studies and the different agent used compared to the other studies.",Simplify sentence: 
12,We did not find any completed randomised trials.,We did not find any randomized trials,We did not find any completed randomised trials testing these drugs in people with carotid artery dissection.,Simplify sentence: 
13,The rates were 24.5 for the sponge and 10.9 for the diaphragm in the UK trial.,The sponge was a lot cheaper than the diaphragm.,"For each 100 women who used the sponge for a year, about 25 got pregnant.",Simplify sentence: 
14,All but one trial were at high risk of bias.,One trial was at high risk of bias.,All but one of the trials were of high risk of bias (defects in study design that can lead to arriving at incorrect conclusions with overestimation of benefits and underestimation of harms).,Simplify sentence: 
15,"To assess interventions used in the management of all types of melasma: epidermal, dermal, and mixed.","To evaluate interventions used in the management of all types of melasma: epidermal, dermal, and mixed.",Mixed melasma is a combination of epidermal and dermal melasma.,Simplify sentence: 
16,"We included seven trials, involving 735 participants, in this review.","We included seven trials, involving 735 participants in this review.","This review included seven studies (specifically randomised controlled trials), involving 735 people.",Simplify sentence: 
17,Surgeons and their assistants are especially at risk of exposure to blood due to glove perforations and needle stick injuries during operations.,Surgeons and their assistants are especially at risk of exposure to blood due to glove perforations and needle stick injuries during operations.,This can lead to infection with HIV or other blood-borne viruses.,Simplify sentence: 
18,"Fibrates are a class of drugs characterised by mainly lowering high triglyceride, raising high-density lipoprotein (HDL) cholesterol, and lowering the small dense fraction of low-density lipoprotein (LDL) cholesterol.",Fibrates are drug classes that cause harm to the body.,"Fibrates are a class of drugs that work by positively influencing fats in the the blood, that is lowering triglyceride, raising high-density lipoprotein ('good') cholesterol and lowering the small dense fraction of low-density lipoprotein ('bad') cholesterol.",Simplify sentence: 
19,To assess the effects of anabolic steroids for treating pressure ulcers.,A person using steroids for treatment of pressure ulcers is asked for their results to be evaluated.,"We wanted to find out whether anabolic steroids were effective in treating pressure ulcers, and if they had any harmful effects.",Simplify sentence: 
20,More RCTs are required to assess whether brief co-incubation would contribute to a higher live birth rate and a lower miscarriage rate compared to the standard overnight insemination protocol.,Live birth rates and miscarriage rates are expected to be higher in an incubation incubation protocol compared to the standard overnight insemination protocol.,More studies are needed to assess whether brief co-incubation would contribute to a higher live-birth rate and a lower miscarriage rate compared to the standard overnight insemination protocol.,Simplify sentence: 
21,Laparoscopic box model training appears to improve technical skills compared with no training in trainees with no previous laparoscopic experience.,Laparoscopic box model training in trainees who have no prior training in laparoscopic surgery appears to improve technical skills.,"Box model training appears to decrease the time required to perform a laparoscopic task, improve the accuracy, decrease the errors, and improves the overall performance.",Simplify sentence: 
22,"Nine trials measured blood pressure, six individual trials found reductions in SBP (reductions ranged from -22.0 mmHg (95% confidence interval (CI) -26.3 to -17.7) to -11.5 mmHg (95% CI -21.5 to -1.46)), two trials found no clear evidence of a difference (however, CIs were wide and an increase or decrease in SBP cannot be ruled out), and one trial found an increase in SBP with tai chi (increase 5.2 mmHg, 95% CI 3.73 to 6.67).","The study group did not find a significant difference in SBP, but found an increase in SBP with tai chi.","Due to the small number of short-term studies and the variability between them, we were unable to determine conclusively whether or not tai chi was beneficial at reducing cardiovascular risk in healthy adults and adults at increased risk of CVD, although beneficial effects for CVD risk factors were seen in some studies.",Simplify sentence: 
23,"To assess the efficacy and safety of fibrates for the prevention of serious vascular events in people with previous cardiovascular disease (CVD), including coronary heart disease and stroke.","The purpose of this paper is to assess the efficacy and safety of fibrates for the prevention of serious vascular events in people with previous cardiovascular disease (CVD), including coronary heart disease and stroke.","The aim of this study was to assess the effect of fibrates for the prevention of major events including heart attacks, strokes, and circulatory disease death in people with existing circulatory disease.",Simplify sentence: 
24,Statins had uncertain effects on progression of CKD.,Statins have a low incidence of heart disease.,"Although use of statins did not clearly reduce risks of kidney disease progression, they can be recommended to reduce risks of death and heart-related events in people with early stages of kidney disease.",Simplify sentence: 
25,"We searched the Cochrane Central Register of Controlled Trials (CENTRAL; 2014, Issue 6) in The Cochrane Library, MEDLINE via Ovid SP (1966 to June 2014) and Embase via Ovid SP (1980 to June 2014).","Cochrane Central Register of Controlled Trials (CENTRAL; 2014, Issue 6) was searched in The Cochrane Library, MEDLINE via Ovid SP (1966 to June 2014) and Embase via Ovid SP (1980 to June 2014).",The evidence is current to June 2014.,Simplify sentence: 
26,"Where results were reported for individual participants in 17 studies, 'no worse than mild pain' was achieved by 96% of participants (362/377), and an outcome equivalent to treatment success in 63% (400/638).","96% of participants (362/377) reported 'no worse than mild pain', and an outcome equivalent to treatment success was achieved in 63% (400/638).","More than 6 in 10 participants were very satisfied with the morphine treatment, or considered the result to be very good or excellent.",Simplify sentence: 
27,"We searched the Cochrane Central Register of Controlled Trials (CENTRAL) (the Cochrane Library, 2016, Issue 9), Ovid MEDLINE (1950 to September 2016), Ovid Embase (1974 to September 2016), Science Citation Index Expanded (1970 to September 2016), Chinese Biomedical Literature Database (CBM) (1978 to September 2016), ClinicalTrials.gov (September 2016), and World Health Organization International Clinical Trials Registry Platform (September 2016).","The searched for clinical trials were the Cochrane Central Register of Controlled Trials (CENTRAL), Ovid MEDLINE (1950 to September 2016, Ovid Embase (1974 to September 2016, Science Citation Index Expanded (1970 to September 2016, Chinese Biomedical Literature Database (CBM) (1978 to September 2016, ClinicalTrials.gov), ClinicalTrials.gov (September 2016), and World Health Organization International Clinical Trials Registry Platform (September 2016).","Studies were conducted in the USA, Australia, China, Finland, and Netherlands.",Simplify sentence: 
28,"Based on the available evidence, physical disruption of a fibrin sheath using interventional radiology techniques appears to be equally efficacious as the use of a pharmaceutical thrombolytic agent for the immediate management of dysfunctional catheters (57 participants: RR 0.92, 95% CI 0.80 to 1.07).",A physical disruption of a fibrin sheath using interventional radiology techniques appears to be equally effective as the use of a pharmaceutical thrombolytic agent for the immediate management of dystactic catheters.,Physical disruption of a fibrin sheath may be equally effective as pharmaceutical thrombolytic agent for immediate management of catheter dysfunction.,Simplify sentence: 
29,"Most studies had a high risk of bias due to poor study design, broad inclusion criteria, low patient numbers and industry involvement.","Most studies had a high risk of bias due to poor study design, broad inclusion criteria, low patient numbers and industry involvement.",The quality of evidence is limited by small study size and high risk of bias.,Simplify sentence: 
30,Available treatments for melasma are unsatisfactory.,Melasma is easily treated by a doctor.,Epidermal melasma is the most superficial with an increase in the skin pigment (melanin) in the top layer of skin (epidermis).,Simplify sentence: 
