,input,output,gold,prefix
0,"Our results suggest, but do not confirm, that a possible advantage of ultrasound guidance for the first attempt success rate over other techniques is more pronounced in infants and small children than in older children.","Los resultados indican que los resultados se pueden recomendar, pero no confirmar, para que el uso del guiado por ecografa para la primera tasa de éxito del primer intento sobre otros técnicas es más efectiva que otros.","La evidencia indica que la ecografía es superior a otras técnicas para la inserción de catéteres arteriales, en particular en los recién nacidos y los niños pequeños.",Simplify sentence from English to Spanish: 
1,Laparoscopic box model training appears to improve technical skills compared with no training in trainees with no previous laparoscopic experience.,El entrenamiento con modelos en cualquier polvo puede mejorar las aptitudes técnicas en comparación con ningn entrenamiento.,Lo anterior indica que el entrenamiento con simulador mejora las aptitudes técnicas de los cirujanos practicantes sin experiencia previa en cirugía laparoscópica.,Simplify sentence from English to Spanish: 
2,"We also searched Google Scholar and performed manual searches in journals relevant to the topic, conference proceedings and lists of references of potentially included articles.",Se buscaron bsquedas de estudios relevantes para evaluar la relevantidad de las pruebas debido a un nmero limitado de estudios con participantes del estudio.,Se realizó una búsqueda exhaustiva de estudios sobre este tema.,Simplify sentence from English to Spanish: 
3,"The focus of treatment has moved to an outpatient setting, and a number of differing psychological therapies are presently used in treatment.",Los métodos psicológicos que se usan para el tratamiento actualmente se utilizan para el tratamiento.,Es importante saber qué terapia psicológica tiene más probabilidades de ayudar a los pacientes a recuperarse.,Simplify sentence from English to Spanish: 
4,Pain relief did not differ between Mm/r and MIR.,Las aliviaciones del dolor no difirieron entre el grupo de Mm/r y las de la MIR.,lo cual dificultó la posibilidad de determinar si algún comprimido o preparado oral con morfina fue mejor que otro.,Simplify sentence from English to Spanish: 
5,Duration and style of tai chi differed between trials.,La duración y estado de tai chi difirieron entre los ensayos.,Hubo variaciones en la duración y el estilo del tai chi y el seguimiento de las intervenciones varió de tres a 12 meses.,Simplify sentence from English to Spanish: 
6,There was some suggestion of beneficial effects of tai chi on CVD risk factors but this was not consistent across all studies.,"Hubo alguna indicación de efectos beneficiosos de la tai chi sobre los efectos de los agentes clnicos del GCF, pero no estos resultados fueron consistentes entre todas las pruebas.","Debido al escaso número de estudios a corto plazo y la variabilidad entre ellos, no fue posible determinar de manera concluyente si el tai chi fue beneficioso para reducir el riesgo cardiovascular en los adultos sanos y los adultos con mayor riesgo de EC, aunque en algunos estudios se observaron efectos beneficiosos sobre los factores de riesgo de EC.",Simplify sentence from English to Spanish: 
7,Published or unpublished randomised controlled trials (RCTs) comparing the effects of anabolic steroids with alternative treatments or different types of anabolic steroids in the treatment of pressure ulcers.,Las escarres con el nmero de sntomas pueden ser un tratamiento de presión no el tratamiento de los lceras por presión.,"En marzo de 2017, se buscaron los ensayos controlados aleatorizados que compararon la administración de esteroides anabolizantes con otros tratamientos para las úlceras por presión.",Simplify sentence from English to Spanish: 
8,"We searched the Cochrane Hypertension Group Specialised Register, the Cochrane Central Register of Controlled Trials (CENTRAL, 2014, Issue 9), MEDLINE, MEDLINE In-Process, EMBASE, and ClinicalTrials.gov to 27 October 2014.",Se buscaron en la literatura hasta el 27 de octubre 2014.,Se realizaron búsquedas en la literatura científica disponible para encontrar todos los ensayos que habían evaluado esta pregunta.,Simplify sentence from English to Spanish: 
9,To determine the effectiveness of tai chi for the primary prevention of CVD.,Se consideró que no hay suficiente evidencia sobre la efectividad de la tai chi para la prevención de la EC.,"Esta revisión evaluó la efectividad de las intervenciones de tai chi en adultos sanos y adultos con alto riesgo de EC para reducir la muerte cardiovascular, la muerte por cualquier causa, las variables de evaluación no mortales (como ataques cardíacos, accidentes cerebrovasculares y angina) y los factores de riesgo de EC.",Simplify sentence from English to Spanish: 
