,input,output,gold,prefix
0,"Our results suggest, but do not confirm, that a possible advantage of ultrasound guidance for the first attempt success rate over other techniques is more pronounced in infants and small children than in older children.","Nuestros resultados sugeren, pero no confirman, que una posibilidad de hindaje de eso para el porcentaje de una hipoteca a una va de sufrimento sobre otras técnicas es más pronounced en adolescentes y pequeos nios que en nios de más grandeza.","La evidencia indica que la ecografía es superior a otras técnicas para la inserción de catéteres arteriales, en particular en los recién nacidos y los niños pequeños.",Simplify sentence from English to Spanish: 
1,Laparoscopic box model training appears to improve technical skills compared with no training in trainees with no previous laparoscopic experience.,El formación de la corteza modela laparoscopica parece mejorar las habilidades técnicas compartidos con no formación en estudiantes con no experiencia en laparoscopia.,Lo anterior indica que el entrenamiento con simulador mejora las aptitudes técnicas de los cirujanos practicantes sin experiencia previa en cirugía laparoscópica.,Simplify sentence from English to Spanish: 
2,"We also searched Google Scholar and performed manual searches in journals relevant to the topic, conference proceedings and lists of references of potentially included articles.","También buscamos Google Scholar y haramos buscaciones manuales en revistas pertinentes a la cuestión, los procedimientos de la conferencia y listas de referencias de artculos posiblemente incluidos.",Se realizó una búsqueda exhaustiva de estudios sobre este tema.,Simplify sentence from English to Spanish: 
3,"The focus of treatment has moved to an outpatient setting, and a number of differing psychological therapies are presently used in treatment.","La espectra del tratamiento se asocia a un establecimiento en el caso de pacientes, y actualmente se utiliza una serie de tratamientos psicológicos diferentes.",Es importante saber qué terapia psicológica tiene más probabilidades de ayudar a los pacientes a recuperarse.,Simplify sentence from English to Spanish: 
4,Pain relief did not differ between Mm/r and MIR.,No se diferió entre Mm/r y MIR.,lo cual dificultó la posibilidad de determinar si algún comprimido o preparado oral con morfina fue mejor que otro.,Simplify sentence from English to Spanish: 
5,Duration and style of tai chi differed between trials.,La fenómena y estilo de la tai chi separaban entre los prácticos.,Hubo variaciones en la duración y el estilo del tai chi y el seguimiento de las intervenciones varió de tres a 12 meses.,Simplify sentence from English to Spanish: 
6,There was some suggestion of beneficial effects of tai chi on CVD risk factors but this was not consistent across all studies.,Hay alguna idea de efectos benéficos de tai chi sobre los factores de riesgo de ciclodenvolvimento que no son unidos en todos los estudios.,"Debido al escaso número de estudios a corto plazo y la variabilidad entre ellos, no fue posible determinar de manera concluyente si el tai chi fue beneficioso para reducir el riesgo cardiovascular en los adultos sanos y los adultos con mayor riesgo de EC, aunque en algunos estudios se observaron efectos beneficiosos sobre los factores de riesgo de EC.",Simplify sentence from English to Spanish: 
7,Published or unpublished randomised controlled trials (RCTs) comparing the effects of anabolic steroids with alternative treatments or different types of anabolic steroids in the treatment of pressure ulcers.,Las pruebas de control control (RCT) disponibles que compara el efecto de esteroides anabolicos con tratamientos alternativos o diversos tipos de esteroides anabolicos en el tratamiento de los pseudoflancios de la presión.,"En marzo de 2017, se buscaron los ensayos controlados aleatorizados que compararon la administración de esteroides anabolizantes con otros tratamientos para las úlceras por presión.",Simplify sentence from English to Spanish: 
8,"We searched the Cochrane Hypertension Group Specialised Register, the Cochrane Central Register of Controlled Trials (CENTRAL, 2014, Issue 9), MEDLINE, MEDLINE In-Process, EMBASE, and ClinicalTrials.gov to 27 October 2014.","Se encuentra el Abogados a la Register de los Cochrane especializados del grupo Pblico de hypertensión, el Abogados Central de Estudios de Control (centro, 2014, fecha 9,), MEDLINE, MEDLINE In-Process, EMBASE, y ClinicalTrials.gov hasta 27 octubre de 2014 para analizar la lista Cochrane Hypertensión especializada, Cochrane Central de Estudios de Control (CENTRAL, 2014, ejercicio 9, ahora 27 de Octubre de 2014.",Se realizaron búsquedas en la literatura científica disponible para encontrar todos los ensayos que habían evaluado esta pregunta.,Simplify sentence from English to Spanish: 
9,To determine the effectiveness of tai chi for the primary prevention of CVD.,Todo tipo de eficacio de tai chi para la primária prevención de la cvD,"Esta revisión evaluó la efectividad de las intervenciones de tai chi en adultos sanos y adultos con alto riesgo de EC para reducir la muerte cardiovascular, la muerte por cualquier causa, las variables de evaluación no mortales (como ataques cardíacos, accidentes cerebrovasculares y angina) y los factores de riesgo de EC.",Simplify sentence from English to Spanish: 
10,High-quality randomised controlled trials on well-defined participants with long-term outcomes to determine the duration of response are needed.,Se necesita una garanta de alto calidad y estudios controlados de alta calidad en adecuadas participantes con resultados pesados longeves para determinar el duración de la respuesta.,Se necesitan estudios de alta calidad que comparen los tratamientos para esta afección difícil de tratar.,Simplify sentence from English to Spanish: 
11,"The cure rate in short-term follow-up was similar between the groups, however there is significant uncertainty in this result due to the high heterogeneity.","La frecuencia de curación en el seguimiento de corto plazo era similar entre el grupo, pero hay una incertidumbre incertidumbre en esa resultación puesta a la alta heterogeneidad.","La curación en el momento del seguimiento a corto plazo fue similar entre los grupos; sin embargo, hay dudas significativas en cuanto a este resultado que pueden ser consecuencia de la antigüedad de uno de los estudios y del agente diferente utilizado en comparación con los otros estudios.",Simplify sentence from English to Spanish: 
12,We did not find any completed randomised trials.,No se encuentra ningn ensayos después reunidas.,No se encontraron ensayos aleatorios finalizados que probaran estos fármacos en pacientes con disección carotídea.,Simplify sentence from English to Spanish: 
