,input,output,gold,prefix
0,"Our results suggest, but do not confirm, that a possible advantage of ultrasound guidance for the first attempt success rate over other techniques is more pronounced in infants and small children than in older children.","Notre résultat suggére, mais pas confirme, l'utilisation de guidée par ultrasound pour la términothèse des premiers niveaux d'échec sur d'autres techniques a montré que une efficacité plus élevée en termes de réussite chez les nourrissons et les enfants âgés.","Nos données probantes suggèrent que l'échographie est supérieure aux autres techniques d'insertion de cathéters artériels, en particulier chez les nourrissons et les jeunes enfants.",Simplify sentence from English to French: 
1,Laparoscopic box model training appears to improve technical skills compared with no training in trainees with no previous laparoscopic experience.,L'apprentissage par les modèle de laparoscopie semble améliorer les compétences technicales que l'absence de formation en étudiant les instéresses ayant un expérience préalable d'entrainer une laparoscopie.,Ceci suggère que la formation utilisant des modèles en boite améliore les compétences techniques de stagiaires en chirurgie sans expérience de la chirurgie laparoscopique.,Simplify sentence from English to French: 
2,Duration and style of tai chi differed between trials.,La durée de l'essai et l'esque-type des ài chi variaient entre les essais.,"Il y avait des variations dans la durée et le mode de tai-chi, et le suivi des interventions allait de 3 à 12 mois.",Simplify sentence from English to French: 
3,There was some suggestion of beneficial effects of tai chi on CVD risk factors but this was not consistent across all studies.,Il y avait de supposation d'effets néfastes de l'immunodéficience sur le risque de complications oculaires (PCI) de l'artère pulmonaire.,"En raison du petit nombre d'études à court terme et de la variabilité entre elles, nous ne sommes pas parvenus à déterminer de façon concluante si oui ou non le tai-chi était bénéfique pour réduire le risque cardio-vasculaire chez les adultes en bonne santé et chez les adultes présentant un risque accru de MCV, bien que des effets bénéfiques pour les facteurs de risque cardio-vasculaire ont été observés dans certaines études.",Simplify sentence from English to French: 
4,To determine the effectiveness of tai chi for the primary prevention of CVD.,La tai chi est un anticardiaque par voie basse à l'ail pour prévenir le syndrome d'exacerbation pulmonaire et la mortalité chez les adultes atteints du syndrome d'exacerbation pulmonaire.,"Cette revue a évalué l'efficacité du tai-chi chez les adultes en bonne santé et ceux présentant un risque élevé de MCV pour réduire les décès cardio-vasculaires, la mortalité toutes causes confondues, les paramètres non mortels (tels que les crises cardiaques, les AVC et les angines de poitrine) et les facteurs de risque cardio-vasculaire. Les caractéristiques de l'étude",Simplify sentence from English to French: 
5,High-quality randomised controlled trials on well-defined participants with long-term outcomes to determine the duration of response are needed.,Il existe une nécessité d'essais contrôlés randomisés de haute qualité sur les participants bien déterminés et aux résultats à long terme pour déterminer la durée du réponse.,Des études de bonne qualité comparant les traitements de cette affection difficile à prendre en charge sont nécessaires.,Simplify sentence from English to French: 
6,We did not find any completed randomised trials.,Nous n'avons trouvé aucun essai randomisé.,Nous n'avons trouvé aucun essai randomisé terminé étudiant ces médicaments chez les personnes souffrant de dissection de l'artère carotide.,Simplify sentence from English to French: 
7,The rates were 24.5 for the sponge and 10.9 for the diaphragm in the UK trial.,"Le taux de savonage était de 22,5 pour le «spongier» et 1,3 pour le diaphragme.","Sur 100 femmes utilisant l'éponge pendant un an, 25 sont devenues enceintes, contre 11 utilisatrices de diaphragme.",Simplify sentence from English to French: 
8,All but one trial were at high risk of bias.,Les personnes ayant toutes les deux essais présentaient des risques de biais élevés.,"Qualité des preuves Tous, sauf un des essais, présentaient un risque de biais élevé (défauts dans le plan d'étude qui peut conduire à des conclusions erronées avec une surestimation des effets bénéfiques et une sous-estimation des effets nocifs).",Simplify sentence from English to French: 
9,"To assess interventions used in the management of all types of melasma: epidermal, dermal, and mixed.",Nous avons cherché les essais afin de déterminer l'effet d'une intervention à l'aide de tous les types de mélanome et par thérapie l'épidermie.,"Enfin, le mélasma mixte est une association du mélasma épidermique et dermique.",Simplify sentence from English to French: 
10,"We included seven trials, involving 735 participants, in this review.","Cette revue a évalué sept essais contrôlés randomisés portant sur 735 personnes, dans un total de 735 critères de jugement.","Cette revue comprenait sept études (spécifiquement des essais contrôlés randomisés), impliquant 735 personnes.",Simplify sentence from English to French: 
11,Surgeons and their assistants are especially at risk of exposure to blood due to glove perforations and needle stick injuries during operations.,Les aiguilles et les assistants sont surtout insérées au niveau de la prise en charge du corps en raison de la infection et d'infections cutanées des utérus et des blessures pendant les opérations.,Cela peut conduire à l'infection par le VIH ou par d'autres virus à diffusion hématogène.,Simplify sentence from English to French: 
