,input,output,gold,prefix
0,"Our results suggest, but do not confirm, that a possible advantage of ultrasound guidance for the first attempt success rate over other techniques is more pronounced in infants and small children than in older children.","Notre conclusion suggère, mais ne confirme pas que l'avantage possible de l'orientation de l'exodine pour la vitesse de réussite à la première essai relative à de tous les techniques est plus résonable chez des nourrissons et petits enfants que chez des plus âgés.","Nos données probantes suggèrent que l'échographie est supérieure aux autres techniques d'insertion de cathéters artériels, en particulier chez les nourrissons et les jeunes enfants.",Simplify sentence from English to French: 
1,Laparoscopic box model training appears to improve technical skills compared with no training in trainees with no previous laparoscopic experience.,La formation en vaille de modèles de boxes semble faciliter les compétences techniques comparativement aux études dans des établissements de lacroix.,Ceci suggère que la formation utilisant des modèles en boite améliore les compétences techniques de stagiaires en chirurgie sans expérience de la chirurgie laparoscopique.,Simplify sentence from English to French: 
2,Duration and style of tai chi differed between trials.,Duration et style de la tai chi sont différents entre les essais.,"Il y avait des variations dans la durée et le mode de tai-chi, et le suivi des interventions allait de 3 à 12 mois.",Simplify sentence from English to French: 
3,There was some suggestion of beneficial effects of tai chi on CVD risk factors but this was not consistent across all studies.,"Des résultats doivent indiquer que la tai chi ont étadique les effets positifs sur les facteurs de risque de CDV, mais ce n'était pas mis en uvre s'énoncé toutes les études.","En raison du petit nombre d'études à court terme et de la variabilité entre elles, nous ne sommes pas parvenus à déterminer de façon concluante si oui ou non le tai-chi était bénéfique pour réduire le risque cardio-vasculaire chez les adultes en bonne santé et chez les adultes présentant un risque accru de MCV, bien que des effets bénéfiques pour les facteurs de risque cardio-vasculaire ont été observés dans certaines études.",Simplify sentence from English to French: 
4,To determine the effectiveness of tai chi for the primary prevention of CVD.,Pour évaluer l'efficacité de la tai chi pour la lutte contre le VIH :,"Cette revue a évalué l'efficacité du tai-chi chez les adultes en bonne santé et ceux présentant un risque élevé de MCV pour réduire les décès cardio-vasculaires, la mortalité toutes causes confondues, les paramètres non mortels (tels que les crises cardiaques, les AVC et les angines de poitrine) et les facteurs de risque cardio-vasculaire. Les caractéristiques de l'étude",Simplify sentence from English to French: 
5,High-quality randomised controlled trials on well-defined participants with long-term outcomes to determine the duration of response are needed.,"Les études d'incentivation avec un taux d'emploi des rapports de qualité sont incapables, mais ils doivent être menées à haute qualité sur des participants bien définis, en mesure de déterminer de longue durée la durée de la response.",Des études de bonne qualité comparant les traitements de cette affection difficile à prendre en charge sont nécessaires.,Simplify sentence from English to French: 
6,We did not find any completed randomised trials.,Nous n’avons pas trouvé des progrès que l’on a obtenu.,Nous n'avons trouvé aucun essai randomisé terminé étudiant ces médicaments chez les personnes souffrant de dissection de l'artère carotide.,Simplify sentence from English to French: 
7,The rates were 24.5 for the sponge and 10.9 for the diaphragm in the UK trial.,"La taux sont de 26,4 ans pour le bloque et de 13,9 ans pour le diaphragm dans la étude des Royaume-Uni.","Sur 100 femmes utilisant l'éponge pendant un an, 25 sont devenues enceintes, contre 11 utilisatrices de diaphragme.",Simplify sentence from English to French: 
8,All but one trial were at high risk of bias.,Tout mais une procès a été particulièrement atténuée à risque de biais.,"Qualité des preuves Tous, sauf un des essais, présentaient un risque de biais élevé (défauts dans le plan d'étude qui peut conduire à des conclusions erronées avec une surestimation des effets bénéfiques et une sous-estimation des effets nocifs).",Simplify sentence from English to French: 
9,"To assess interventions used in the management of all types of melasma: epidermal, dermal, and mixed.","Assessing the interventions used in the management of all types of melasma : epidermal, dermal and mixed.","Enfin, le mélasma mixte est une association du mélasma épidermique et dermique.",Simplify sentence from English to French: 
